Job name,Company,Deadline,Location
Գիշերային հերթափոխով գանձապահ՝ «Աշտարակ» մասնաճյուղում,FastBank CJSC,22 March 2024,Ashtarak
Գանձապահ՝ «Վեդի» մասնաճյուղում՝ 18։00-01։00 աշխատաժամանակով,FastBank CJSC,22 March 2024,Vedi
Financial specialist,Chronograph,31 March 2024,Yerevan
Sales Assistant,AKCENT SHOP,12 April 2024,Yerevan
Վարորդ-առաքիչ,Aras Food LLC,12 April 2024,Yerevan
CRM Product Analyst,VTB Bank (Armenia),12 April 2024,Yerevan
Վաճառքի մենեջեր,Mane Tiles,12 April 2024,Ararat
Senior UI/UX Designer,FastBank CJSC,12 April 2024,Yerevan
Database Administrator,Digitain,31 March 2024,Yerevan
QA Team Lead,Digitain,31 March 2024,Yerevan
Technical Lead,Digitain,31 March 2024,Yerevan
Senior .NET Developer,Digitain,31 March 2024,Yerevan
Lawyer in Judicial Unit of Legal Department,FINCA UCO CJSC,21 March 2024,Yerevan
ՏՏ բաժնի ղեկավար,"""Mehrabyan  and Sons"" LLC",12 April 2024,Yerevan
Ավագ Հաշվապահ,TML CONSULTING LLC,12 April 2024,Yerevan
IT Auditor,Acba Bank OJSC,27 March 2024,Yerevan
Senior .Net Developer,InConcept Labs | Software Development Company,11 April 2024,Yerevan
Photography Training Lead,TUMO Center for Creative Technologies,11 April 2024,Yerevan
Training Team Manager,TUMO Center for Creative Technologies,11 April 2024,Yerevan
SMM Specialist/Strategy and Governance Directorate/Public Relation Service,CENTRAL BANK OF ARMENIA,26 March 2024,Yerevan
Սրահի Մենեջեր - Խորհրդատու Վաճառողուհի,«ԻՆՏԵՐ ԱԿՎԱ ԳՐՈՒՊ» ՍՊԸ,11 April 2024,Yerevan
Accountant,Երվադա ՍՊԸ,11 April 2024,Yerevan
AI Internship / AI Residency Program,Metric,24 March 2024,Yerevan
D2D Sales,SOLARON,11 April 2024,Yerevan
Accountant,ԱյԹի Ռիփորթս ՍՊԸ - IT Reports LLC,11 April 2024,Yerevan
Junior Content Writer,10Web,11 April 2024,Yerevan
Վաճառքի և սպասարկման մասնագետ ք․ Չարենցավան,Ucom,11 April 2024,Charentsavan
2D Motion Animator,FastMedia,11 April 2024,Yerevan
Junior Accountant,ԱյԹի Ռիփորթս ՍՊԸ - IT Reports LLC,11 April 2024,Yerevan
Junior Manual Tester/QA (remote),DevsData LLC,11 April 2024,Armenia (All cities)                                            (Remote)
Խորհրդատու-վաճառողուհի,ՄԵԿ կահույքի սրահ,05 April 2024,Yerevan
Inbound Communication Team Specialist (Contact Center),Ameriabank CJSC,31 March 2024,Yerevan
Technical Lead/Project Manager,zealous,11 April 2024,Yerevan
Կոմերցիոն բաժնի մասնագետ,GN LLC,11 April 2024,Yerevan
Sales and Relationship Manager,Ameriabank CJSC,25 March 2024,Yerevan
"Outbound team (Sales team) specialist, Contact Center",Ameriabank CJSC,31 March 2024,Yerevan
"Teller, Yerevan branch network",Ameriabank CJSC,31 March 2024,Yerevan
"Client Manager, Yerevan branch network",Ameriabank CJSC,31 March 2024,Yerevan
Microbiologist,Liqvor CJSC,11 April 2024,Yerevan
Specialist in the Department of Drug Registrations,Liqvor CJSC,11 April 2024,Yerevan
Accountant,Liqvor CJSC,11 April 2024,Yerevan
Junior Manual QA Engineer,Zoomerang,11 April 2024,Yerevan
Call centre representative,Freedom Broker Armenia,11 April 2024,Yerevan
Սերվերային համակարգերի և ցանցերի ուղղության թիմի ղեկավար,"""Ardshinbank"" CJSC",20 March 2024,Yerevan
Accountant,SCHNEIDER GROUP LLC,11 April 2024,Yerevan
Junior Java Engineer,AeroDynamics,11 April 2024,Yerevan
Հաշվետար,ԵրՄՄԳՀԻ,11 April 2024,Yerevan
Metodologist/Financial System Regulation Department /Banking System Regulation Division,CENTRAL BANK OF ARMENIA,26 March 2024,Yerevan
Արտադրամասի պետ,Սեմուր ընդ Կո ՍՊԸ,11 April 2024,Yeghvard
Հաշվապահ՝ կադրերի և աշխատավարձի հաշվառման գծով,Paulaner,11 April 2024,Yerevan
Chain Manager,Free Style Group,11 April 2024,Yerevan
Կոմերցիոն ապրանքների վաճառքի մասնագետ,"""Telecom Armenia"" OJSC",11 April 2024,Yerevan
Accountant,"ООО ""ТУРОПЕРАТОР ПАК ГРУП""",11 April 2024,Yerevan
Ֆինանսական խորհրդատու՝ «Կապան» մասնաճյուղում,FastBank CJSC,20 March 2024,Kapan
Ֆինանսական խորհրդատու՝ «Աբովյան» մասնաճյուղում,FastBank CJSC,20 March 2024,Abovyan
Ֆինանսական խորհրդատու՝ «Գյումրի» մասնաճյուղում,FastBank CJSC,20 March 2024,Gyumri
Գործարքների պրոցեսինգի մասնագետ,FastBank CJSC,20 March 2024,Yerevan
Head of Business Development and Partnership Department,Armenian Card CJSC,11 April 2024,Yerevan
Զեղծարարությունների դիտարկման մասնագետ,FastBank CJSC,20 March 2024,Yerevan
Ադմինիստրատիվ Օգնական,Հայաստանի Հաշվապահների Ասոցիացիա,11 April 2024,Yerevan
Վարկային մասնագետ Մասիս մասնաճյուղում,AREGAK UCO CJSC,25 March 2024,Masis
Accountant/Tax Advisor,BDO Armenia CJSC,11 April 2024,Yerevan
Affiliate Manager,SoftConstruct,31 March 2024,Yerevan
Audit Assistant,BDO Armenia CJSC,11 April 2024,Yerevan
Ոսկերիչ-գնահատող՝ Նոր Գյումրի մասնաճյուղում,FastBank CJSC,20 March 2024,Gyumri
Receptionist,InSport Wellness center,11 April 2024,Yerevan
Grapic Designer,Davel Creative Agency,11 April 2024,Yerevan
React Native Upper Mid Developer,Flexy Global,10 April 2024,Yerevan
Junior Cybersecurity Specialist - Incident Response,Questrade International Inc.,08 April 2024,Yerevan
Մոնիթորինգի ծառայության մասնագետ,FastBank CJSC,20 March 2024,Yerevan
Ֆինանսական գործարքների վարման և թղթակցային հաշիվների վարման  բաժնի պետ,VTB Bank (Armenia),20 March 2024,Yerevan
"Սրահի ադմինիստրատոր, ք. Աբովյան",VTB Bank (Armenia),10 April 2024,Abovyan
Lawyer,Spayka LLC,10 April 2024,Yerevan
գանձապահ-հաշվետար,ՅՈՒՆԻՓՈՒԼ ՍՊԸ,10 April 2024,Yerevan
Branch Operations Manager,Think Engineering,10 April 2024,Yerevan
Junior lawyer,Spayka LLC,10 April 2024,Yerevan
Փորձնակ «Արարատ» մասնաճյուղում,FINCA UCO CJSC,21 March 2024,Ararat
Recruiter,"""Max Station"" LLC",10 April 2024,Yerevan
Accounts Payable Specialist,The Alexander Yerevan Hotel,10 April 2024,Yerevan
“Armavir” Branch Credit Officer/Business Development Manager,FINCA UCO CJSC,21 March 2024,Armavir
Ֆիրմային խանութների ղեկավար,Atenk Ltd,06 April 2024,Yerevan
Mid IOS Developer,Codulate,10 April 2024,Yerevan
Engineering Manager,PIN-UP Global,31 March 2024,Yerevan
"Էներգոհամակարգերի ճարտարագետ, Գյումրի","""Telecom Armenia"" OJSC",10 April 2024,Gyumri
Customer Support Customer Support Responsible/Armavir 17:00-21:00 or 18:00-22:00,FastBank CJSC,20 March 2024,Armavir
Офисный сотрудник,AFC,10 April 2024,Yerevan
Business assistant,Alpha Group,31 March 2024,Yerevan
Office Operations Specialist,Big Projects,10 April 2024,Yerevan
Պլաստիկ քարտերի վարչության Սպասարկման բաժնի  գլխավոր մասնագետ,ARMECONOMBANK OJSC,10 April 2024,Yerevan
Գանձապահ,TotoGaming,10 April 2024,Yerevan
Հյուրընկալ,TotoGaming,10 April 2024,Yerevan
Հյուրընկալ Աշտարակ,TotoGaming,10 April 2024,Ashtarak
Ռեստորանի Բրենդ Մենեջեր,TotoGaming,10 April 2024,Yerevan
Product Marketing Manager,Digitain,10 April 2024,Yerevan
B2C Business Analyst,Digitain,10 April 2024,Yerevan
Վաճառող - գանձապահ,Gotcha.am,10 April 2024,Yerevan
Customer Support Responsible,FastBank CJSC,20 March 2024,Gyumri
Լոգիստիկայի մասնագետ,Atenk Ltd,10 April 2024,Yerevan
Senior DevOps Engineer/Cloud Architect,Codulate,10 April 2024,Yerevan
"Plant Health, Safety & Environment Lead",Coca-Cola Hellenic Bottling Company Armenia,31 March 2024,Yerevan
Product Manager,VTB Bank (Armenia),10 April 2024,Yerevan
Financial Analyst,VTB Bank (Armenia),10 April 2024,Yerevan
Translator,SAS Group,10 April 2024,Yerevan
Գլխավոր հաշվապահ,Genacvale Tavern,10 April 2024,Yerevan
Armenian Speaking Interactions Specialist,Robin the Robot,10 April 2024,Yerevan
CRM Bitrix,AMS LLC,10 April 2024,Yerevan
Senior Regulatory Compliance Manager,Freedom Broker Armenia,10 April 2024,Yerevan
Marketing Manager,Uraaa.com,05 April 2024,Yerevan
Internship Customer Service,Joomag,10 April 2024,Yerevan
Դատական բռնագանձման բաժնի մասնագետ,VTB Bank (Armenia),31 March 2024,Yerevan
Իրավաբան,VTB Bank (Armenia),31 March 2024,Yerevan
Tour guide,ARMENIA WINE FACTORY LLC,10 April 2024,Ashtarak
Restaurant Manager,MBG Group LLC,28 March 2024,Yerevan
Night-Shift Receptionist,Hotel Aviatrans,10 April 2024,Yerevan
Danish Speaking Sales Assistant,Maurice Ward Armenia,10 April 2024,Yerevan
"Software Engineer, Quantitative Development Team",Teza Technologies,10 April 2024,Yerevan
Թվային պրոդուկտների գլխավոր ղեկավար (Chief Product Officer),"""Telecom Armenia"" OJSC",10 April 2024,Yerevan
Վաճառքի և սպասարկման մասնագետ ք․ Ապարան,Ucom,10 April 2024,Aparan
Clinical analyst (oncology),BostonGene Technologies,10 April 2024,Yerevan
Clinical analyst (hematology),BostonGene Technologies,10 April 2024,Yerevan
Junior analyst - Molecular biologist,BostonGene Technologies,10 April 2024,Yerevan
Content specialist (Բովանդակության համակարգող) /փոխարինող/,Հայաստանում ֆրանսիական համալսարան/ French University in Armenia (UFAR),21 March 2024,Yerevan
Caviste,Food Depot LLC,10 April 2024,Yerevan
Հաշվապահ,Finup,10 April 2024,Yerevan
ASIC Physical Design Engineer/ 48414BR,Synopsys Armenia,10 April 2024,Yerevan
AML Transaction Monitoring Analyst,Freedom Broker Armenia,10 April 2024,Yerevan
Sales Specialist,Linz Optic ZEISS Vision Expert,08 April 2024,Yerevan
Հայոց լեզվի և գրականության ուսուցիչ,Ayb School,10 April 2024,Yerevan
"Սրահի ադմինիստրատոր, ք. Մասիս",VTB Bank (Armenia),10 April 2024,Masis
Senior C++ Developer (Algorithms),Align Technology,10 April 2024,Yerevan
Customer Support Responsible/Vanadzor 17:00-21:00 or 18:00-22:00,FastBank CJSC,20 March 2024,Vanadzor
Русскоязычный Game Presenter,Evolution,10 April 2024,Yerevan
Շուկայի զարգացման պատասխանատու,Bacon Product LLC,10 April 2024,Arzni
Վաճառքի մասնագետ,Autofan AC LLC,10 April 2024,Yerevan
Առաքիչ,Bacon Product LLC,10 April 2024,Arzni
Մարքեթինգի ավագ մասնագետ,Bacon Product LLC,10 April 2024,Arzni
Ապառիկ վաճառքի գծով մասնագետ ք․ Հրազդան,VTB Bank (Armenia),31 March 2024,Hrazdan
Sports Trader,Digitain,10 April 2024,Yerevan
Կոնտակտային կենտրոնի մասնագետ,VTB Bank (Armenia),31 March 2024,Yerevan
Վաճառքի մասնագետ,VTB Bank (Armenia),31 March 2024,Yerevan
Ապառիկ վաճառքի գծով մասնագետ,VTB Bank (Armenia),31 March 2024,Yerevan
Financial Analyst,Coffee House Company,10 April 2024,Yerevan
Sales specialist,Էյչ Վի Էյ Սի Գրուպ ՍՊԸ,10 April 2024,Yerevan
Product Data Analyst,Ameriabank CJSC,31 March 2024,Yerevan
Գանձապահ՝ «Գյումրի» մասնաճյուղում/ցերեկային հերթափոխով,FastBank CJSC,20 March 2024,Gyumri
Senior Datacenter Network Engineer,Viva-MTS (MTS Armenia CJSC),27 March 2024,Yerevan
Mid .NET Developer,Ameriabank CJSC,31 March 2024,Yerevan
Delivery driver,Էյչ Վի Էյ Սի Գրուպ ՍՊԸ,10 April 2024,Yerevan
Senior Network Engineer,Viva-MTS (MTS Armenia CJSC),27 March 2024,Yerevan
Senior .NET Developer,Ameriabank CJSC,31 March 2024,Yerevan
Հասանելիությունների վերահսկման մասնագետ,Digitain,25 March 2024,Yerevan
Ներքին անվտանգության տեսահսկման մասնագետ,Digitain,25 March 2024,Yerevan
Internal Security Video Monitoring Specialist,Digitain,25 March 2024,Yerevan
Experienced iOS Developer,Simply Technologies,21 March 2024,Yerevan
Digital Marketing Specialist,Azarian Growth Agency,10 April 2024,Yerevan                                            (Remote)
Senior UI/UX Team Lead,Azarian Growth Agency,10 April 2024,Yerevan
Content Writer,Azarian Growth Agency,10 April 2024,Yerevan
HR Manager,EXPOCORE HOTEL,10 April 2024,Yerevan
Receptionist,EXPOCORE HOTEL,10 April 2024,Yerevan
Assistant to Project Manager,Daniam LLC,09 April 2024,Yerevan
Թվային պրոդուկտների վերլուծաբան,"""Telecom Armenia"" OJSC",09 April 2024,Yerevan
Junior Talent Acquisition Specialist,DevsData LLC,09 April 2024,Armenia (All cities)                                            (Remote)
Service Manager Assistant,Fine Service LLC,08 April 2024,Yerevan
Սպասարկման կենտրոնի ղեկավար/աշխատակից,OAZIS COMPUTER LLC,31 March 2024,Yerevan
Sales manager,Սփիք ՍՊԸ,08 April 2024,Yerevan
Games Quality Verification Specialist,Digitain,08 April 2024,Yerevan
Live Games Planning Specialist,Digitain,08 April 2024,Yerevan
Համալրման մասնագետ,Atenk Ltd,01 April 2024,Yerevan
Head of the sales department,Ֆրոզեն Միթ ՍՊԸ,07 April 2024,Yerevan
Quality manager,Թամարա ՍՊԸ,07 April 2024,Abovyan
Accountant,Ադամիում,07 April 2024,Yerevan
Marketing Data Analyst,Abramyan Marketing Group (AMG),07 April 2024,Las Vegas                                            (Remote)
Junior Marketing Copywriter/Strategist,Abramyan Marketing Group (AMG),07 April 2024,Las Vegas                                            (Remote)
Occupational Health & Safety and Fire Safety Specialist,Evolution,22 March 2024,Yerevan
Loss Prevention associate,Republica hotel Yerevan,06 April 2024,Yerevan
Կորպորատիվ հաճախորդների հետ աշխատանքներ  ֆինանսական խորհրդատու,"""Ardshinbank"" CJSC",20 March 2024,Yerevan
Content Writer (contract-based),Krisp,06 April 2024,Yerevan                                            (Remote)
Chinese Speaking Development Specialist,Maurice Ward Armenia,22 March 2024,Yerevan
Development Specialist for Indian Market,Maurice Ward Armenia,22 March 2024,Yerevan
Valet Parking Attendant,The Alexander Yerevan Hotel,06 April 2024,Yerevan
DevOps Engineer,Helix Consulting,06 April 2024,Yerevan
Flight attendant,FlyOne Armenia,06 April 2024,Yerevan
Հաշվապահ,Brandon marketing,06 April 2024,Yerevan
ArmSoft Developer,Evocabank,24 March 2024,Yerevan
Content Moderation Associate,LIST GROUP,06 April 2024,Yerevan
Խոշոր բիզնեսի բաժնի գլխավոր մենեջեր,IDBank CJSC,29 March 2024,Yerevan
Կայանների տեղակայման գործակալ,Ucom,06 April 2024,Yerevan
Microbusiness chief client manager,IDBank CJSC,29 March 2024,Yerevan
Logistics Specialist,Էքսպրես Լոջիսթիքս,06 April 2024,Yerevan
Կորպորատիվ հաճախորդների հետ հարաբերությունների զարգացման համակարգող,Telcell,06 April 2024,Yerevan
Գանձապահ «Գորիս» մասնաճյուղում,FINCA UCO CJSC,21 March 2024,Masis
Ինժեներ նախագծող,ITAL SOLAR,06 April 2024,Yerevan
Նախաորակավորման ծրագիր/Թալին,"""Ardshinbank"" CJSC",24 March 2024,Talin
Նախաորակավորման ծրագիր/Վարդենիս,"""Ardshinbank"" CJSC",24 March 2024,Vardenis
Նախաորակավորման ծրագիր/Սևան,"""Ardshinbank"" CJSC",24 March 2024,Sevan
Նախաորակավորման ծրագիր/Ջերմուկ,"""Ardshinbank"" CJSC",24 March 2024,Jermuk
Նախաորակավորման ծրագիր/Մեղրի,"""Ardshinbank"" CJSC",24 March 2024,Meghri
Նախաորակավորման ծրագիր/Մարտունի,"""Ardshinbank"" CJSC",24 March 2024,Martuni
Նախաորակավորման ծրագիր/Հրազդան,"""Ardshinbank"" CJSC",24 March 2024,Hrazdan
Նախաորակավորման ծրագիր/Կամո,"""Ardshinbank"" CJSC",24 March 2024,Gavar
Նախաորակավորման ծրագիր/Երևան,"""Ardshinbank"" CJSC",24 March 2024,Yerevan
Նախաորակավորման ծրագիր/Աբովյան,"""Ardshinbank"" CJSC",24 March 2024,Abovyan
Head of the engineering and technical service department of the greenhouse complex,Spayka LLC,06 April 2024,Yerevan
Sales Specialist,ITResources,06 April 2024,Yerevan
Ցանցային ադմինիստրատոր,Partner Company,06 April 2024,Yerevan
Senior Sales Consultant,ITResources,06 April 2024,Yerevan
PHP Laravel Developer,Helix Consulting,06 April 2024,Yerevan
Data collection junior specialist (Temporary - 3 months),TUMO Center for Creative Technologies,31 March 2024,Yerevan
The operator-administrator of call centre,doctor911.am,06 April 2024,Yerevan
B2B Sales Manager,SOLARON,06 April 2024,Yerevan
Customer Service Quality Control Specialist,AMIO BANK,06 April 2024,Yerevan
Trade Marketing Specialist,ARGE BUSINESS LLC,06 April 2024,Yerevan
"Intern,Agile Project Management",SoftConstruct,06 April 2024,Yerevan
Human Resources Manager,"""ASBC"" LLC",06 April 2024,Yerevan
ASIC Physical Design Engineer / 48065BR,Synopsys Armenia,06 April 2024,Yerevan
Ցանցային ադմինիստրատոր,Atenk Ltd,01 April 2024,Yerevan
Database Administrator,Acba Bank OJSC,23 March 2024,Yerevan
Logistics coordinator for vehicle transportation in the United States,Cars Hauler,05 April 2024,Yerevan
Freelance Bookkeeper for Year-End Financials,iNexxus,22 March 2024,Yerevan                                            (Remote)
Business Intelligence Analyst / VBET,SoftConstruct,06 April 2024,Yerevan
Manual QA Engineer / VBET,SoftConstruct,06 April 2024,Yerevan
Dispatcher car hauling,Cars Hauler,31 March 2024,Yerevan
Full-Time Remote Asset Manager for US Based Property Management Company,Knights Property Management Inc.,05 April 2024,Yerevan                                            (Remote)
Customer service specialist,“NAIRI INSURANCE” INSURANCE LLC,05 April 2024,Yerevan
Senior Accountant,Digitain,05 April 2024,Yerevan
Database Security Administrator,Ameriabank CJSC,20 March 2024,Yerevan
Targeted ads specialist,Move2Armenia Career,05 April 2024,Yerevan
Ցանցի կառուցման տեխնիկ ք․ Արարատ,Ucom,05 April 2024,Ararat
"Կրտսեր ինժեներ, Ֆիքսված կապի մոնիթորինգի թիմ",Ucom,05 April 2024,Yerevan
Որակի վերահսկման թիմի պատասխանատու,Jermuk International Pepsi-Cola Bottler LLC,05 April 2024,Yerevan
Small and Medium Business Chief Manager,IDBank CJSC,22 March 2024,Yerevan
"Apply ""Procurement Services"" Spin Contest",SPINNER,05 April 2024,Yerevan
"Risk Management Center, Operational Risks Management Group, Specialist",Ameriabank CJSC,20 March 2024,Yerevan
"Apply ""SEO Outsourcing Services"" Spin Contest",SPINNER,05 April 2024,Yerevan
"Apply ""Software Testing Company"" Spin Contest",SPINNER,05 April 2024,Yerevan
Technical Implementation Engineer,OMD Armenia LLC,05 April 2024,Yerevan
tekhnologist,Թամարա ՍՊԸ,05 April 2024,Abovyan
C++ Software Engineer,OMD Armenia LLC,05 April 2024,Yerevan
SMM Specialist,EcoVille LLC,05 April 2024,Yerevan
ՖԻՆԱՆՍԻՍՏ,«ՏԻԳԱ ՇԻՆ» ՍՊԸ,05 April 2024,Yerevan
Բիզնես գործընթացների զարգացման առաջատար մասնագետ,IDBank CJSC,22 March 2024,Yerevan
Sales specialist,Level77,05 April 2024,Yerevan
Կորպորատիվ կոմիսիոն  բիզնեսի գծով տեղակալ,ՅՈՒՆԻԲԱՆԿ ԲԲԸ,05 April 2024,Yerevan
Construction Project Manager,Gravity LLC,05 April 2024,Yerevan
Senior Product Marketing Manager (all genders),TeamViewer Armenia,05 April 2024,Yerevan
Casino Product Manager VBET,SoftConstruct,05 April 2024,Yerevan
UI Developer,ArctX Solution LLC,05 April 2024,Yerevan
Ադմինիստրատիվ աշխատակից,Անդակո ՍՊԸ,05 April 2024,Yerevan
Customer service specialist,TRANSPORT LLC,29 March 2024,Yerevan
Chief specialist  of Enforcement proceedings and bankruptcy case problem asset recovery Unit,AMIO BANK,05 April 2024,Yerevan
Risk Management Specialist,ArctX Solution LLC,05 April 2024,Yerevan
Հաշվետար,ARGE BUSINESS LLC,31 March 2024,Yerevan
Վաճառքի վերլուծաբան,ARMENIA WINE FACTORY LLC,05 April 2024,Yerevan
Store Manager,FAB Group LLC,05 April 2024,Yerevan
Պատվիրակ,SOS Children's Villages Armenia,05 April 2024,Yerevan
Fraud Risk Analyst,Armenian Card CJSC,05 April 2024,Yerevan
Digital marketing specialist,ITAL SOLAR,05 April 2024,Yerevan
SMM Manager/Strategist,Move2Armenia Career,05 April 2024,Yerevan
Marketing specialist,Mantashyants Entrepreneurs Union,31 March 2024,Yerevan
Product Manager,SQUARE SIGNS ARMENIA,05 April 2024,Yerevan
Administrative Assistant,Mantashyants Entrepreneurs Union,05 April 2024,Yerevan
Community Manager,Mantashyants Entrepreneurs Union,05 April 2024,Yerevan
Communications and Audiovisual Officer,NDI Armenia,27 March 2024,Yerevan
Office Manager,AAB Construction,05 April 2024,Yerevan
Տեխնիկաների սպասարկման մասնագետ,AAB Construction,05 April 2024,Yerevan
Sales Manager in Real Estate,AAB Construction,05 April 2024,Yerevan
Մեխանիկ/Արտադրության պատասխանատու,AAB Construction,05 April 2024,Yerevan
Գանձապահ՝ «Շենգավիթ» մասնաճյուղում 18:00-01:00 աշխատաժամանակով,FastBank CJSC,05 April 2024,Yerevan
Risk &amp; Compliance Specialist,Armenian Card CJSC,05 April 2024,Yerevan
System/DB Administrator,Armenian Card CJSC,05 April 2024,Yerevan
SMM Specialist,Art Lunch,05 April 2024,Yerevan
Remote-Based | Online Ads Assessor (Russian Language),TELUS International AI Inc,05 April 2024,Yerevan
Social Media Manager Intern,iTeam,05 April 2024,Yerevan
հաշվապահ,ԵրՄՄԳՀԻ,31 March 2024,Yerevan
assembly works of metal constructions,ԱՄԲԱ ԳՐՈՒՊ -1,05 April 2024,Yerevan
"QA Automation Engineer, Frontline (all genders)",TeamViewer Armenia,05 April 2024,Yerevan
"QA Automation Engineer, Frontline (all genders)",TeamViewer Armenia,05 April 2024,Yerevan
Senior Mobile QA Automation Engineer (all genders),TeamViewer Armenia,05 April 2024,Yerevan
Hospitality Coordinator,TUMO Center for Creative Technologies,05 April 2024,Yerevan
Finance and Business Processes Audit Senior Specialist,Viva-MTS (MTS Armenia CJSC),20 March 2024,Yerevan
Transmission Engineer,Viva-MTS (MTS Armenia CJSC),20 March 2024,Yerevan
Seller-Consultant / Yerevan,Mobile Centre,05 April 2024,Yerevan
Assistant to Tax Manager,BDO Armenia CJSC,05 April 2024,Yerevan
Տեխնոլոգի օգնական,Միջնաբերդ Ալկո,03 April 2024,Yerevan
Senior Product Designer,SoftLand LLC,05 April 2024,Yerevan
Senior Motion Graphic Designer,SoftLand LLC,05 April 2024,Yerevan
Sales Manager,Rubinar LLC,05 April 2024,Yerevan
Customer Support Agent (English and Russian Languages),TokenWin,05 April 2024,Yerevan
Talent Acquisition Specialist,Jermuk International Pepsi-Cola Bottler LLC,05 April 2024,Yerevan
SMM Specialist,Davel Creative Agency,05 April 2024,Yerevan
Accountant,Wallet,05 April 2024,Yerevan                                            (Remote)
Tour administrator,Yerani Travel LLC,04 April 2024,Yerevan
Marketing specialist,Noor Wedding Armenia,04 April 2024,Yerevan
Incoming Tour Manager,ARARA LLC,04 April 2024,Yerevan
SMM մասնագետ,Hosteeva LLC,04 April 2024,Yerevan
Concierge,Tufenkian Hospitality LLC,30 March 2024,Yerevan
Chief Financial Officer,FastMedia,04 April 2024,Yerevan
Night Shift Receptionist,Messier 53 Hotel Yerevan,04 April 2024,Yerevan
Link-Building Specialist,LinkyJuice,04 April 2024,Yerevan
English Langauge Communications specialist (Native),TUMO Center for Creative Technologies,04 April 2024,Yerevan
IT Project Manager,L-IT Armenia,04 April 2024,Yerevan
Senior Recruiter,SoftConstruct,04 April 2024,Yerevan
Խաղավարի Օգնական,SoftConstruct,04 April 2024,Yerevan
SMM and PR Specialist/VBET,SoftConstruct,04 April 2024,Yerevan
Game Presenter,SoftConstruct,04 April 2024,Yerevan
Խաղավար,SoftConstruct,04 April 2024,Yerevan
Recruiter,SoftConstruct,04 April 2024,Yerevan
Տեսահսկման բաժնի աշխատակից,SoftConstruct,04 April 2024,Yerevan
Partnership Manager,Business Development Group (BDG),04 April 2024,Yerevan
Office Manager,Balchug Capital,31 March 2024,Yerevan
Լողավազանի աշխատակից/ Pool Attendant,The Alexander Yerevan Hotel,04 April 2024,Yerevan
Licensing and Certification Specialist,SoftConstruct,04 April 2024,Yerevan
"Account Manager (Arabic, Turkish and English languages)",SoftConstruct,31 March 2024,Yerevan
Account Manager (English and Russian Languages),SoftConstruct,31 March 2024,Yerevan
ՄՌԿ դեպարտամենտի ղեկավար,«Էրեբունի» ԲԿ,04 April 2024,Yerevan
Accountant,DIGITAI LLC,04 April 2024,Yerevan
Manager of import department,VENDA LLC,04 April 2024,Yerevan
HR Specialist,New City Projects,04 April 2024,Yerevan
Հաշվապահ-Հաշվետար,MIX PAINTS LLC,04 April 2024,Yerevan
Customer Support Specialist,Support My App,03 April 2024,Yerevan
Backend Engineer (Java),Routetitan,04 April 2024,Yerevan                                            (Remote)
Information Security and IAM Officer,Adjarabet.am,31 March 2024,Yerevan
"Senior PHP Developer, CRM Software",DataArt Armenia,04 April 2024,Yerevan
Ֆինանսական Վերլուծաբան,Atenk Ltd,04 April 2024,Yerevan
Շինարարական Աշխատանքների Ղեկավարի Տեղակալ,SoftConstruct,04 April 2024,Yerevan
Customer Service  Specialist,Adjarabet.am,31 March 2024,Yerevan
Ոսկերիչ գնահատողի օգնական ՝ «Չարենցավան» մասնաճյուղում,FastBank CJSC,04 April 2024,Yerevan
Shop Consultant,Food Depot LLC,04 April 2024,Yerevan
Ոսկերիչ գնահատողի օգնական,FastBank CJSC,04 April 2024,Yerevan
Senior Recruiter,CreedRoomz,31 March 2024,Yerevan
Shuffler,Evolution,04 April 2024,Yerevan
Game Presenter,Evolution,04 April 2024,Yerevan
Խաղաթղթավար (շաֆլեր),Evolution,04 April 2024,Yerevan
Russian Speaking Game Presenter,Evolution,04 April 2024,Yerevan
sales consultant,Ecoprof LLC,04 April 2024,Yerevan
Premium Customers Manager,Inecobank CJSC,31 March 2024,Yerevan
Accountant,Պրեմիեր Ֆուդս ՍՊԸ,04 April 2024,Yerevan
Legal Counsel,SoftConstruct,04 April 2024,Yerevan
Teller,Evocabank,31 March 2024,Yerevan
Sales Consultant - morning shift,Linz Optic ZEISS Vision Expert,04 April 2024,Yerevan
Администратор,Hotel Central LLC,04 April 2024,Yerevan
Lecturer in Computer Science,American University of Armenia Fund,04 April 2024,Yerevan
Accountant for EY’s Tax practice in Armenia,Ernst and Young CJSC (EY),04 April 2024,Yerevan
Social Media Manager,Fastex,31 March 2024,Yerevan
Digital Marketing Specialist,Fastex,31 March 2024,Yerevan
Office Manager,Doping Creative Agency,04 April 2024,Yerevan
Junior Investment Analyst,Optimum Partners -Armenia,31 March 2024,Yerevan                                            (Remote)
Sports Trader,SKILLEX,03 April 2024,Yerevan
«Գործառնական օր» համակարգի ադմինիստրատոր,IDBank CJSC,22 March 2024,Yerevan
SEO Specialist,Straight Up Search,03 April 2024,Northampton                                            (Remote)
Վաճառքի և սպասարկման մասնագետ,Ucom,03 April 2024,Yerevan
Հաշվապահ,Ucom,03 April 2024,Yerevan
Corporate Lending Leading Analyst,IDBank CJSC,22 March 2024,Yerevan
Group Treasury Head,SoftConstruct,03 April 2024,Yerevan
Head of Procurement department,Galaxy Group of Companies,03 April 2024,Yerevan
Plant IT Systems Specialist,ContourGlobal Hydro Cascade,03 April 2024,Goris
